SMILES,Kow,Kowwin,Wildman-Crippen LogP
C=O,0.35,0.35,-0.1849
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.885,1.72,1.8957000000000002
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C,2.19,2.36,2.3524000000000003
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,2.1,2.14,2.560600000000001
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1.47,1.33,0.7004
CC1C(=O)C2=C([C@@H](COC(N)=O)[C@@]3(OC)[C@H]4N[C@H]4CN32)C(=O)C=1N,-0.4,-1.18,-1.6511999999999967
CN1C(=O)NC(=O)C(CC)(CC)C1=O,1.15,0.82,0.5009999999999997
CCC1(NC(=O)N(C)C1=O)c1ccccc1,1.69,1.65,1.4735000000000003
O=P1(NCCCO1)N(CCCl)CCCl,0.63,0.97,1.884
CC(O)C(O)=O,-0.72,-0.65,-0.5482
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)[C@H](CC[C@H]21)C(=O)CO,1.94,1.99,2.666700000000001
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1.61,1.62,1.7815999999999996
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1.62,1.4,1.5575999999999999
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1C[C@@H](O)[C@@H]2O,2.45,2.81,2.5800000000000005
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@H]2O,4.01,3.94,3.6092000000000026
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,6.91,6.79,6.495500000000003
OC(=O)c1c(Cl)cccc1Cl,2.23,2.06,2.691600000000001
c1c2ccccc2c2ccc3cccc4ccc1c2c34,6.13,6.11,5.737200000000003
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.16,3.52,3.7878000000000025
O=C1CCC(C(=O)N1)N1C(=O)c2ccccc2C1=O,0.33,-0.24,0.08779999999999949
COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)[N@@]2C,2.3,2.17,1.8677
CN1C[C@@H](C=C2[C@H]1Cc1c[nH]c3cccc2c31)C(=O)N(CC)CC,2.95,2.26,2.9060000000000015
S=C1NC=Nc2[nH]c[n]c21,0.01,-0.13,1.0154899999999998
CNCCCN1c2ccccc2CCc2ccccc12,4.9,4.8,3.5328000000000026
CN(C)CCC=C1c2ccccc2CCc2ccccc21,4.92,4.95,4.168600000000003
CN(C)CCCN1c2ccccc2CCc2ccccc12,4.8,5.01,3.8750000000000027
CN1CCCCC1CCN1c2cc(ccc2Sc2ccccc12)SC,5.9,6.45,5.8856000000000055
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12,5.41,5.2,4.894400000000004
[O-]C(=O)C1=C(CS[C@@H]2[C@H](NC(=O)Cc3ccc[s]3)C(=O)N12)C[n+]1ccccc1,-1.62,-1.38,-0.3177999999999983
NCCc1c[nH]c2ccc(O)cc21,0.21,0.79,1.3747
O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)CO,-2.8,-3.01,-3.5854000000000004
O=C1NC(=O)C(=O)C(=O)N1,-1.84,-1.04,-2.0785
CC(=O)Oc1ccccc1C(O)=O,1.19,1.13,1.3101
OC(=O)c1cc(Cl)ccc1Cl,2.82,2.82,2.691600000000001
O[C@@H](CO)[C@H]1OC(=O)C(O)=C1O,-1.85,-1.88,-1.4074
Cc1cc(O)c(cc1)C(O)=O,2.99,2.79,1.3988199999999997
CC(=O)Nc1ccc(c(O)c1)C(O)=O,1.62,1.0,1.0488
CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,-0.93,-0.64,-1.5142799999999992
O[C@H]1C[C@@H](O[C@@H]1CO)N1C=C(F)C(=O)NC1=O,-1.16,-1.14,-1.6835999999999995
Cl.C[C@H](NC)[C@H](O)c1ccccc1,-2.45,-2.2,1.7496999999999998
OCC1C(O)C(O)C(O)C(O)O1,-3.24,-2.89,-3.2214000000000005
CCCc1cc2OCOc2cc1COCCOCCOCCCC,4.75,4.29,3.7177000000000024
CCN(CCNC(=O)c1ccc(N)cc1)CC,0.88,0.97,1.3404
O=C(CCNNC(=O)c1cc[n]cc1)NCc1ccccc1,0.87,0.32,1.0224999999999989
c1[nH]c2ccccc2[n]1,1.32,1.23,1.5628999999999997
O=C1NC=C(Br)C(=O)N1,-0.21,-0.47,-0.17430000000000007
