,Kowwin T-statistic,Kowwin p-value,Kowwin Degrees of Freedom,Kowwin Mean,Kowwin Standard Deviation,Kowwin Maximum,Kowwin Median,Kowwin IQR
carboxylic acid,11.384875868403125,1.1499093785580262e-28,1272.4953614171948,0.637833197,0.872741372,4.27,0.29,0.59
No carboxylic acid,,,,0.35082038,0.401164081,18.24,0.25,0.38
amide,10.37665973895899,5.202932468387285e-25,5873.720911496391,0.449219788,0.576423447,4.02,0.27,0.45
No amide,,,,0.345833657,0.413627322,18.24,0.24,0.36
ester,0.9688823103471932,0.3327164243569042,2082.458487215721,0.388207143,0.569175389,18.24,0.28,0.4
No ester,,,,0.374432603,0.453460879,9.16,0.24,0.38
benzene,-5.340795143614777,9.486626916896681e-08,8739.925105823419,0.360918674,0.460965525,18.24,0.24,0.37
No benzene,,,,0.406953066,0.485330115,4.27,0.27,0.41
ketone,-4.808792484737074,1.6942548205743138e-06,1309.0084082266762,0.32476626,0.335899358,3.0,0.22,0.36
No ketone,,,,0.380106899,0.478140974,18.24,0.25,0.38
halogen,-3.604094536345245,0.0003149278596169,9037.580026628948,0.355497028,0.392459597,6.2,0.25,0.37
No halogen,,,,0.384354738,0.496688611,18.24,0.25,0.39
primary amine,6.067647545213719,1.4699512158249135e-09,2845.4990043144307,0.446087046,0.66035773,9.16,0.24,0.38
No primary amine,,,,0.361335245,0.416681621,18.24,0.25,0.38
secondary amine,12.414562255930964,4.632433772156936e-35,7871.935821125648,0.448709473,0.555316542,6.2,0.29,0.45
No secondary amine,,,,0.336464271,0.409990009,18.24,0.23,0.35
tertiary amine,4.098360183657757,4.191881941959544e-05,10597.436772480272,0.390960209,0.404862844,6.2,0.27,0.42
No tertiary amine,,,,0.35659981,0.543108117,18.24,0.22,0.35
aliphatic hydroxyl,8.493107827483621,3.48277014788678e-17,2387.98444210296,0.463257827,0.467777443,3.38,0.33,0.46
No aliphatic hydroxyl,,,,0.363076707,0.468566435,18.24,0.24,0.37
unbranched alkane >4,0.1736244106434732,0.862187688812639,1299.4405301884494,0.378238691,0.39172372,4.77,0.26,0.4
No unbranched alkane >4,,,,0.376006156,0.475438438,18.24,0.25,0.38
alkyl halide,1.1686198581241898,0.2427670857049167,1324.668855585324,0.391141469,0.439645559,6.2,0.27,0.42
No alkyl halide,,,,0.374884404,0.472152743,18.24,0.25,0.38
nitrile,-3.780585841181496,0.0001722929361637,593.0551336337388,0.319364078,0.341722143,3.65,0.22,0.36
No nitrile,,,,0.378368517,0.473785705,18.24,0.25,0.38
nitro,-4.997215891717544,6.397716851284326e-07,1749.3411771517788,0.329390325,0.322516264,2.97,0.24,0.35
No nitro,,,,0.380609349,0.481057739,18.24,0.25,0.39
sulfide,3.789862598857163,0.0001635407703343,709.1001662371872,0.45054878,0.517263207,3.42,0.3,0.47
No sulfide,,,,0.372474398,0.466880461,18.24,0.25,0.38
sulfonamide,2.54312276416262,0.0111920389871133,729.5812511177259,0.415336463,0.394629509,2.92,0.31,0.48
No sulfonamide,,,,0.374278724,0.472921633,18.24,0.25,0.38
ether,-0.0599185641824403,0.9522215685294796,11146.754649569482,0.375863163,0.442721711,18.24,0.27,0.41
No ether,,,,0.376348964,0.484230944,9.16,0.24,0.37
aromatic hydroxyl,3.36246403809938,0.0007995004645602,1083.4036550179685,0.451968962,0.772196811,18.24,0.28,0.44
No aromatic hydroxyl,,,,0.370075295,0.435773606,9.16,0.25,0.38
aromatic nitrogen,4.8523268743711725,1.239455928500067e-06,9582.461774807289,0.403381153,0.388496506,4.13,0.29,0.42
No aromatic nitrogen,,,,0.364951523,0.498898176,18.24,0.23,0.36
aromatic amine,0.0935183412435381,0.9255146250911044,819.9499353893519,0.377362146,0.328873997,2.55,0.3,0.42
No aromatic amine,,,,0.376113165,0.475728388,18.24,0.25,0.38
aniline,1.3753210458182812,0.1690771786923652,6809.183453584154,0.384966087,0.407147941,9.16,0.28,0.4
No aniline,,,,0.373321679,0.488208002,18.24,0.24,0.38
phenol,3.131632357170376,0.0017950269429836,892.2417894097337,0.460359629,0.834196003,18.24,0.27,0.45
No phenol,,,,0.370584213,0.43425193,9.16,0.25,0.38
bicyclic,3.887343942055677,0.0001023713985665,6402.583044131588,0.40166717,0.414638683,9.16,0.29,0.42
No bicyclic,,,,0.368160702,0.485413022,18.24,0.24,0.37
rings,-1.002706222350186,0.316192797963569,1275.5720453168444,0.374589563,0.45255715,18.24,0.26,0.38
No rings,,,,0.393447979,0.626576197,4.27,0.19,0.35
saturated rings,11.546160396423664,2.1733874217742275e-30,4268.098680332599,0.469144086,0.487388236,6.2,0.33,0.49
No saturated rings,,,,0.352085607,0.461939982,18.24,0.23,0.35
aromatic rings,-4.771167548813279,1.9234332947186697e-06,2862.476853733707,0.366076058,0.444277037,18.24,0.25,0.37
No aromatic rings,,,,0.426885892,0.578058901,4.27,0.24,0.42
