Prediction and Applicability Domain analysis for models:,,,,,,,,
LogP model (Meylan-Kowwin) (version 1.1.5),,,,,,,,
LogP model (MLogP) (version 1.0.1),,,,,,,,
LogP model (ALogP) (version 1.0.1),,,,,,,,
(calculation core version : 1.3.19),,,,,,,,
,,,,,,,,
No.,tId,SMILES,LogP model (Meylan-Kowwin)-assessment,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-assessment,LogP model (MLogP)-prediction,LogP model (ALogP)-assessment,LogP model (ALogP)-prediction
1,Molecule 1,O=C,0.35 (EXPERIMENTAL value),0.23,0.35 (EXPERIMENTAL value),-0.96,0.35 (EXPERIMENTAL value),-0.1
2,Molecule 2,O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C23(F)))(C),1.89 (EXPERIMENTAL value),1.77,1.89 (EXPERIMENTAL value),1.85,1.89 (EXPERIMENTAL value),1.64
3,Molecule 3,O=C(OCC(=O)C3(O)(CCC2C4CCC1=CC(=O)CCC1(C)C4(C(O)CC23(C))))C,2.19 (EXPERIMENTAL value),2.41,2.19 (EXPERIMENTAL value),2,2.19 (EXPERIMENTAL value),1.6
4,Molecule 4,O=C(OCC(=O)C3(O)(CCC2C4CCC1=CC(=O)CCC1(C)C4(C(=O)CC23(C))))C,1.49 (MODERATE reliability),1.49,1.92 (MODERATE reliability),1.92,1.41 (LOW reliability),1.41
5,Molecule 5,O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC,1.47 (EXPERIMENTAL value),1.07,1.47 (EXPERIMENTAL value),1.18,1.47 (EXPERIMENTAL value),1.32
6,Molecule 6,O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N,-0.4 (EXPERIMENTAL value),-3.48,-0.4 (EXPERIMENTAL value),-0.96,-0.4 (EXPERIMENTAL value),-1.83
7,Molecule 7,O=C1NC(=O)C(C(=O)N1C)(CC)CC,1.15 (EXPERIMENTAL value),1.01,1.15 (EXPERIMENTAL value),0.57,1.15 (EXPERIMENTAL value),0.95
8,Molecule 8,O=C2NC(c1ccccc1)(C(=O)N2C)CC,1.69 (EXPERIMENTAL value),2.79,1.69 (EXPERIMENTAL value),1.65,1.69 (EXPERIMENTAL value),1.6
9,Molecule 9,O=P1(OCCCN1)N(CCCl)CCCl,0.63 (EXPERIMENTAL value),0.97,0.63 (EXPERIMENTAL value),1.97,0.63 (EXPERIMENTAL value),0.14
10,Molecule 10,O=C(O)C(O)C,-0.72 (EXPERIMENTAL value),-0.65,-0.72 (EXPERIMENTAL value),-0.7,-0.72 (EXPERIMENTAL value),-0.31
11,Molecule 11,O=C3C=C2CCC1C4CCC(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3),1.94 (EXPERIMENTAL value),1.12,1.94 (EXPERIMENTAL value),2.41,1.94 (EXPERIMENTAL value),1.95
12,Molecule 12,O=C3C=C2CCC1C4CCC(O)(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3),1.61 (EXPERIMENTAL value),1.67,1.61 (EXPERIMENTAL value),1.62,1.61 (EXPERIMENTAL value),1.22
13,Molecule 13,O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)CO)C4(C)(CC(O)C23))(C),1.62 (EXPERIMENTAL value),1.45,1.62 (EXPERIMENTAL value),1.53,1.62 (EXPERIMENTAL value),1.19
14,Molecule 14,Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)C(O)CC34),2.45 (EXPERIMENTAL value),3.5,2.45 (EXPERIMENTAL value),2.8,2.45 (EXPERIMENTAL value),2.85
15,Molecule 15,Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34),4.01 (EXPERIMENTAL value),4.63,4.01 (EXPERIMENTAL value),3.63,4.01 (EXPERIMENTAL value),3.81
16,Molecule 16,c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl,6.91 (EXPERIMENTAL value),7.31,6.91 (EXPERIMENTAL value),6.17,6.91 (EXPERIMENTAL value),6.33
17,Molecule 17,O=C(O)c1c(cccc1Cl)Cl,2.23 (EXPERIMENTAL value),3.16,2.23 (EXPERIMENTAL value),2.89,2.23 (EXPERIMENTAL value),2.76
18,Molecule 18,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,6.13 (EXPERIMENTAL value),6.11,6.13 (EXPERIMENTAL value),5.41,6.13 (EXPERIMENTAL value),4.85
19,Molecule 19,O=C3N(c1ccccc1)N(c2ccccc2)C(=O)C3CCCC,4.72 (LOW reliability),4.72,3.16 (LOW reliability),3.16,3.95 (LOW reliability),3.95
20,Molecule 20,O=C3NC(=O)C(N2C(=O)c1ccccc1C2(=O))CC3,0.33 (EXPERIMENTAL value),-0.32,0.33 (EXPERIMENTAL value),0.2,0.33 (EXPERIMENTAL value),0.2
