SMILES,Kow,Kowwin,Wildman-Crippen LogP
C=O,0.35,0.35,-0.1849
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.885,1.72,1.8957
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,2.19,2.36,2.3524000000000003
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,2.1,2.14,2.560600000000001
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1.47,1.33,0.7004
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,-0.4,-1.18,-1.651199999999997
CCC1(CC)C(=O)NC(=O)N(C)C1=O,1.15,0.82,0.5009999999999997
CCC1(c2ccccc2)NC(=O)N(C)C1=O,1.69,1.65,1.4735000000000005
O=P1(N(CCCl)CCCl)NCCCO1,0.63,0.97,1.884
CC(O)C(=O)O,-0.72,-0.65,-0.5482
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,1.94,1.99,2.666700000000001
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.61,1.62,1.7815999999999996
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.62,1.4,1.5576
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,2.45,2.81,2.5800000000000005
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,4.01,3.94,3.609200000000002
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,6.91,6.79,6.495500000000003
O=C(O)c1c(Cl)cccc1Cl,2.23,2.06,2.691600000000001
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,6.13,6.11,5.737200000000003
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.16,3.52,3.7878000000000025
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,0.33,-0.24,0.0877999999999994
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,2.3,2.17,1.8677
CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,2.95,2.26,2.906000000000001
S=c1[nH]cnc2[nH]cnc12,0.01,-0.13,1.0154899999999998
CNCCCN1c2ccccc2CCc2ccccc21,4.9,4.8,3.5328000000000026
CN(C)CCC=C1c2ccccc2CCc2ccccc21,4.92,4.95,4.168600000000003
CN(C)CCCN1c2ccccc2CCc2ccccc21,4.8,5.01,3.875000000000002
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,5.9,6.45,5.8856000000000055
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.41,5.2,4.894400000000004
O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12,-1.62,-1.38,-0.3177999999999983
NCCc1c[nH]c2ccc(O)cc12,0.21,0.79,1.3747
OCC(O)C(O)C(O)C(O)CO,-2.8,-3.01,-3.5854000000000004
O=C1NC(=O)C(=O)C(=O)N1,-1.84,-1.04,-2.0785
CC(=O)Oc1ccccc1C(=O)O,1.19,1.13,1.3101
O=C(O)c1cc(Cl)ccc1Cl,2.82,2.82,2.691600000000001
O=C1OC(C(O)CO)C(O)=C1O,-1.85,-1.88,-1.4074
Cc1ccc(C(=O)O)c(O)c1,2.99,2.79,1.3988199999999995
CC(=O)Nc1ccc(C(=O)O)c(O)c1,1.62,1.0,1.0488
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,-0.93,-0.64,-1.5142799999999992
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,-1.16,-1.14,-1.6835999999999995
CNC(C)C(O)c1ccccc1.Cl,-2.45,-2.2,1.7496999999999998
OCC1OC(O)C(O)C(O)C1O,-3.24,-2.89,-3.2214000000000005
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,4.75,4.29,3.7177000000000016
CCN(CC)CCNC(=O)c1ccc(N)cc1,0.88,0.97,1.3404
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,0.87,0.32,1.0224999999999989
c1ccc2[nH]cnc2c1,1.32,1.23,1.5628999999999995
O=c1[nH]cc(Br)c(=O)[nH]1,-0.21,-0.47,-0.1743
O=c1[nH]cc(F)c(=O)[nH]1,-0.89,-0.81,-0.7977000000000001
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1.67,1.73,1.2086000000000003
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,0.98,0.39,0.9180999999999993
O=C(O)c1cc(Cl)cc(Cl)c1,3.0,3.16,2.6916
NCC(O)c1ccc(O)c(O)c1,-1.24,-1.16,0.0898999999999999
CNCC(O)c1ccc(O)c(O)c1,-1.2,-0.69,0.3506000000000001
O=C(O)c1ccc(Cl)c(Cl)c1,3.25,3.16,2.6916
NCCc1cnc[nH]1,-0.7,-0.73,-0.0891000000000003
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,1.83,1.91,1.9309
NCCc1ccc(O)c(O)c1,-0.98,0.38,0.5989999999999998
CC(N)Cc1ccccc1,1.76,1.76,1.5763
COc1ccc(NC(C)=O)cc1,1.03,1.18,1.6535999999999995
CN(CCCl)CCCl,0.91,0.91,1.3958
CCOC(N)=O,-0.15,-0.02,0.1016000000000002
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.52,2.88,4.852300000000005
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,2.4,2.14,2.1284
S=P(N1CC1)(N1CC1)N1CC1,0.53,0.61,0.1577000000000001
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341.O=P(O)(O)O,-1.4,-1.01,0.5724999999999998
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,1.77,2.3,1.2492
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1.15,1.31,0.491
O=C1NC(=O)C2(CCCCC2)C(=O)N1,0.91,0.98,0.3029
O=C1NC(=S)NC(=O)C12CCCCC2,1.78,1.85,0.4677999999999995
NC1(C(=O)O)CCCC1,-2.28,-1.67,0.3424999999999997
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,4.8,5.093080000000005
CC(C)(S)C(N)C(=O)O,-1.78,-2.18,0.1066999999999998
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,0.51,0.42,2.1609000000000003
COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,2.23,1.99,1.833
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.3,4.2,4.425600000000004
NC(CS)C(=O)O,-2.49,-3.05,-0.6719000000000002
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.46,1.59,1.7658
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.47,1.81,1.9898
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,3.13,3.43,3.817400000000003
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,3.69,3.07,3.959100000000003
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,3.23,2.98,3.879200000000002
CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl,2.94,3.04,4.662800000000004
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,6.75,6.7,6.299400000000003
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,0.03,-0.28,-0.7936999999999959
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,4.23,3.927320000000004
COc1cc(CCN)cc(OC)c1OC,0.78,0.85,1.2136000000000002
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.63,4.5,4.810600000000004
CN1CCCC1c1cccnc1,1.17,1.0,1.8483
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.0550000000000002,-1.22,1.1223
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,0.04,0.1,0.0819999999999999
O=C([O-])c1ccccc1O.[Na+],-1.43,-1.49,-3.240299999999999
O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-2.14,-2.26,-3.4569
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.03,2.32,1.8907000000000005
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,3.17,3.37,2.9841200000000017
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,-0.96,-0.38,-1.2181
CC(N)C(O)c1cccc(O)c1,-0.27,-0.26,0.7728000000000002
CC(C)NCC(O)c1ccc2ccccc2c1,3.0,2.35,2.871200000000001
NNC(=O)c1ccncc1,-0.7,-0.81,-0.3149000000000006
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,0.42,0.25,1.2272
CC(C)NNC(=O)c1ccncc1,0.37,0.56,0.7243999999999996
C1CCc2nnnn2CC1,0.14,0.87,0.3994999999999998
CCN(CC)N=O,0.48,0.34,1.0095999999999998
NC(=O)c1ccccc1,0.64,0.74,0.7855000000000001
O=C(O)c1ccncc1,0.32,0.69,0.7797999999999999
COP(=S)(OC)Oc1ccc(SC)c(C)c1,4.09,4.08,3.6130200000000015
N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,0.08,4.85,4.175280000000002
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],1.62,1.51,-1.0200999999999996
