SMILES2,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction
C=O,0.23,-0.96,-0.1
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.77,1.85,1.64
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,2.41,2,1.6
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,1.49,1.92,1.41
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1.07,1.18,1.32
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,-3.48,-0.96,-1.83
CCC1(CC)C(=O)NC(=O)N(C)C1=O,1.01,0.57,0.95
CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.79,1.65,1.6
O=P1(N(CCCl)CCCl)NCCCO1,0.97,1.97,0.14
CC(O)C(=O)O,-0.65,-0.7,-0.31
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,1.12,2.41,1.95
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.67,1.62,1.22
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.45,1.53,1.19
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,3.5,2.8,2.85
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,4.63,3.63,3.81
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,7.31,6.17,6.33
O=C(O)c1c(Cl)cccc1Cl,3.16,2.89,2.76
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,6.11,5.41,4.85
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,4.72,3.16,3.95
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-0.32,0.2,0.2
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,2.51,2.41,2.12
CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,2.74,2.25,2.6
S=c1[nH]cnc2[nH]cnc12,-1.26,-0.12,0.22
CNCCCN1c2ccccc2CCc2ccccc21,5.26,3.5,3.85
CN(C)CCC=C1c2ccccc2CCc2ccccc21,5.75,4.76,4.77
CN(C)CCCN1c2ccccc2CCc2ccccc21,5.47,3.73,4.39
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,6.38,4.06,5.56
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.19,3.77,4.74
O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12,-5,1.54,0.57
NCCc1c[nH]c2ccc(O)cc12,1.14,0.92,1.28
OCC(O)C(O)C(O)C(O)CO,-4.2,-2.5,-2.94
O=C1NC(=O)C(=O)C(=O)N1,1.4,-2.09,-1.35
CC(=O)Oc1ccccc1C(=O)O,1.47,1.7,1.2
O=C(O)c1cc(Cl)ccc1Cl,3.16,2.89,2.76
O=C1OC(C(O)CO)C(O)=C1O,-2.68,-2.33,-1.76
Cc1ccc(C(=O)O)c(O)c1,3.91,1.47,1.65
CC(=O)Nc1ccc(C(=O)O)c(O)c1,2.12,0.78,0.29
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,-1.19,-0.66,-1.24
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,-1.68,-0.81,-1.77
CNC(C)C(O)c1ccccc1.Cl,-,-,-
OCC1OC(O)C(O)C(O)C1O,-3.11,-2.48,-2.51
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,4.29,1.97,3.87
CCN(CC)CCNC(=O)c1ccc(N)cc1,0.97,1.72,1.13
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,0.32,1.16,0.68
c1ccc2[nH]cnc2c1,1.23,1.35,1.35
O=c1[nH]cc(Br)c(=O)[nH]1,-0.47,-0.24,-0.56
O=c1[nH]cc(F)c(=O)[nH]1,-0.81,-0.63,-1.1
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1.15,1.22,1.35
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,0.73,1.42,0.82
O=C(O)c1cc(Cl)cc(Cl)c1,3.16,2.89,2.76
NCC(O)c1ccc(O)c(O)c1,-1.16,-0.06,-0.11
CNCC(O)c1ccc(O)c(O)c1,-0.7,0.25,0.32
O=C(O)c1ccc(Cl)c(Cl)c1,3.16,2.89,2.76
NCCc1cnc[nH]1,-0.37,-0.34,-0.85
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.25,2.21,1.72
NCCc1ccc(O)c(O)c1,0.38,0.74,0.72
CC(N)Cc1ccccc1,1.76,2.24,1.63
COc1ccc(NC(C)=O)cc1,1.18,1.38,0.93
CN(CCCl)CCCl,1.53,1.94,1.65
CCOC(N)=O,-0.02,0.11,0.16
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,3.14,3.77,3.59
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,2.2,1.92,1.57
S=P(N1CC1)(N1CC1)N1CC1,1.87,0.55,-0.76
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341.O=P(O)(O)O,-,-,-
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.49,1.35,1.74
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1.5,0.69,0.88
O=C1NC(=O)C2(CCCCC2)C(=O)N1,1.17,0.57,0.83
O=C1NC(=S)NC(=O)C12CCCCC2,1.55,0.54,1.73
NC1(C(=O)O)CCCC1,-1.67,0.15,0.28
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,5.83,3.23,5.53
CC(C)(S)C(N)C(=O)O,-2.18,0.16,0.06
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.28,0.49,0.75
COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,2.64,1.17,1.91
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.2,3.74,3.89
NC(CS)C(=O)O,-3.05,-0.7,-0.52
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,0.94,1.44,1.01
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.16,1.53,1.03
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,4.12,3.54,3.77
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,3.41,3.8,3.45
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,3.32,3.7,3.2
CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl,-,-,-
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,6.7,5.78,5.46
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,-2.07,-0.06,-0.21
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.32,3.51,4.21
COc1cc(CCN)cc(OC)c1OC,1.58,1.12,1.21
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.33,3.51,4.38
CN1CCCC1c1cccnc1,1.52,1.27,1.24
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.22,0.87,1.25
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,0.1,0.12,-0.11
O=C([O-])c1ccccc1O.[Na+],-,-,-
O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-2.62,-1.96,-2.57
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,1.6,0.84,1.75
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,3.37,2.89,3.4
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,-0.92,-0.37,-1.4
CC(N)C(O)c1cccc(O)c1,-0.26,0.79,0.54
CC(C)NCC(O)c1ccc2ccccc2c1,2.35,2.85,2.49
NNC(=O)c1ccncc1,-1.95,-0.28,-0.81
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,0.25,1.38,0.65
CC(C)NNC(=O)c1ccncc1,0.56,0.72,0.51
C1CCc2nnnn2CC1,0.87,1.26,0.95
CCN(CC)N=O,0.34,0.56,0.79
NC(=O)c1ccccc1,0.74,1.29,0.83
O=C(O)c1ccncc1,0.69,0.12,0.28
COP(=S)(OC)Oc1ccc(SC)c(C)c1,4.68,2.49,3.31
N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,4.06,4.28,3.83
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],2.22,0.23,1.49
CC(C)OP(=O)(F)OC(C)C,0.68,1.12,1.35
CS(=O)(=O)OCCCCOS(C)(=O)=O,-0.68,-0.5,-0.29
NCCCC(=O)O,-3.6,-0.25,-0.62
ClC(Cl)(Cl)Cl,2.44,2.23,3.58
CN1C(=O)C(C)(C2=CCCCC2)C(=O)N=C1O,1.01,1.35,2.15
CC[N+](CC)(CC)CC.[Cl-],-,-,-
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.39,2.14,2.87
NCC(=O)O,-3.41,-1.22,-0.98
CC(N)C(=O)O,-2.99,-0.7,-0.6
NC(CO)C(=O)O,-4.46,-1.51,-1.49
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.26,3.56,3.5
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,7.05,5.77,5.64
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,5.64,3.96,5.09
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.13,2.19,2.73
c1ccc2cc3c(ccc4ccccc43)cc2c1,5.52,5.09,4.56
O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,0.06,2.12,1.12
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,5.43,2.64,3.86
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0.69,1.14,1.02
