SMILES,Kow,Kowwin,Wildman-Crippen LogP,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction,mols,carboxylic acid,amide,ester,benzene,ketone,halogen,primary amine,secondary amine,tertiary amine,aliphatic hydroxyl,unbranched alkane >4,alkyl halide,nitrile,nitro,sulfide,sulfonamide,ether,aromatic hydroxyl,aromatic nitrogen,aromatic amine,aniline,phenol,bicyclic,rings,saturated rings,aromatic rings
C=O,0.35,0.35,-0.1849,0.23,-0.96,-0.1,<rdkit.Chem.rdchem.Mol object at 0x00000184B78B2030>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.885,1.72,1.8957,1.77,1.85,1.64,<rdkit.Chem.rdchem.Mol object at 0x00000184B78B2AB0>,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,5,4,3,0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,2.19,2.36,2.3524000000000003,2.41,2.0,1.6,<rdkit.Chem.rdchem.Mol object at 0x00000184B78B2A40>,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,4,3,0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,2.1,2.14,2.560600000000001,1.49,1.92,1.41,<rdkit.Chem.rdchem.Mol object at 0x00000184B78B2B20>,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,4,3,0
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1.47,1.33,0.7004,1.07,1.18,1.32,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911230>,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,-0.4,-1.18,-1.651199999999997,-3.48,-0.96,-1.83,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911310>,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,2,0
CCC1(CC)C(=O)NC(=O)N(C)C1=O,1.15,0.82,0.5009999999999997,1.01,0.57,0.95,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911380>,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CCC1(c2ccccc2)NC(=O)N(C)C1=O,1.69,1.65,1.4735000000000005,2.79,1.65,1.6,<rdkit.Chem.rdchem.Mol object at 0x00000184B79113F0>,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
O=P1(N(CCCl)CCCl)NCCCO1,0.63,0.97,1.884,0.97,1.97,0.14,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911460>,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CC(O)C(=O)O,-0.72,-0.65,-0.5482,-0.65,-0.7,-0.31,<rdkit.Chem.rdchem.Mol object at 0x00000184B79114D0>,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,1.94,1.99,2.666700000000001,1.12,2.41,1.95,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911540>,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0
