SMILES,Kow,Kowwin,Wildman-Crippen LogP,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction,mols,carboxylic acid,amide,ester,benzene,ketone,halogen,primary amine,secondary amine,tertiary amine,aliphatic hydroxyl,unbranched alkane >4,alkyl halide,nitrile,nitro,sulfide,sulfonamide,ether,aromatic hydroxyl,aromatic nitrogen,aromatic amine,aniline,phenol,bicyclic,rings,saturated rings,aromatic rings,consensus logp,Kowwin error,Wildman-Crippen error,Meylan-Kowwin error,MLogP error,ALogP error,consensus logp error
C=O,0.35,0.35,-0.1849,0.23,-0.96,-0.1,<rdkit.Chem.rdchem.Mol object at 0x00000184B78B2030>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13298,0.0,0.5348999999999999,0.11999999999999997,1.31,0.44999999999999996,0.48297999999999996
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.885,1.72,1.8957,1.77,1.85,1.64,<rdkit.Chem.rdchem.Mol object at 0x00000184B78B2AB0>,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,5,4,3,0,1.77514,0.16500000000000004,0.010699999999999932,0.11499999999999999,0.03499999999999992,0.2450000000000001,0.10986000000000007
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,2.19,2.36,2.3524000000000003,2.41,2.0,1.6,<rdkit.Chem.rdchem.Mol object at 0x00000184B78B2A40>,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,4,3,0,2.14448,0.16999999999999993,0.16240000000000032,0.2200000000000002,0.18999999999999995,0.5899999999999999,0.04551999999999978
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,2.1,2.14,2.560600000000001,1.49,1.92,1.41,<rdkit.Chem.rdchem.Mol object at 0x00000184B78B2B20>,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,4,3,0,1.9041200000000003,0.040000000000000036,0.4606000000000008,0.6100000000000001,0.18000000000000016,0.6900000000000002,0.19587999999999983
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1.47,1.33,0.7004,1.07,1.18,1.32,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911230>,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1.1200800000000002,0.1399999999999999,0.7696,0.3999999999999999,0.29000000000000004,0.1499999999999999,0.3499199999999998
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,-0.4,-1.18,-1.651199999999997,-3.48,-0.96,-1.83,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911310>,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,2,0,-1.8202399999999994,0.7799999999999999,1.2511999999999968,3.08,0.5599999999999999,1.4300000000000002,1.4202399999999993
CCC1(CC)C(=O)NC(=O)N(C)C1=O,1.15,0.82,0.5009999999999997,1.01,0.57,0.95,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911380>,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.7701999999999998,0.32999999999999996,0.6490000000000002,0.1399999999999999,0.58,0.19999999999999996,0.37980000000000014
CCC1(c2ccccc2)NC(=O)N(C)C1=O,1.69,1.65,1.4735000000000005,2.79,1.65,1.6,<rdkit.Chem.rdchem.Mol object at 0x00000184B79113F0>,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1.8327000000000002,0.040000000000000036,0.21649999999999947,1.1,0.040000000000000036,0.08999999999999986,0.14270000000000027
O=P1(N(CCCl)CCCl)NCCCO1,0.63,0.97,1.884,0.97,1.97,0.14,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911460>,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.1867999999999999,0.33999999999999997,1.254,0.33999999999999997,1.3399999999999999,0.49,0.5567999999999999
CC(O)C(=O)O,-0.72,-0.65,-0.5482,-0.65,-0.7,-0.31,<rdkit.Chem.rdchem.Mol object at 0x00000184B79114D0>,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5716399999999999,0.06999999999999995,0.17179999999999995,0.06999999999999995,0.020000000000000018,0.41,0.14836000000000005
