,Count,Kowwin Mean,Kowwin Standard Deviation,Kowwin Minimum,Kowwin Maximum,Kowwin Median,Kowwin Q1,Kowwin Q3,Wildman-Crippen Mean,Wildman-Crippen Standard Deviation,Wildman-Crippen Minimum,Wildman-Crippen Maximum,Wildman-Crippen Median,Wildman-Crippen Q1,Wildman-Crippen Q3,Meylan-Kowwin Mean,Meylan-Kowwin Standard Deviation,Meylan-Kowwin Minimum,Meylan-Kowwin Maximum,Meylan-Kowwin Median,Meylan-Kowwin Q1,Meylan-Kowwin Q3,MLogP Mean,MLogP Standard Deviation,MLogP Minimum,MLogP Maximum,MLogP Median,MLogP Q1,MLogP Q3,ALogP Mean,ALogP Standard Deviation,ALogP Minimum,ALogP Maximum,ALogP Median,ALogP Q1,ALogP Q3,consensus logp Mean,consensus logp Standard Deviation,consensus logp Minimum,consensus logp Maximum,consensus logp Median,consensus logp Q1,consensus logp Q3
With carboxylic acid,1223,0.6378331970564186,0.872741372018218,0.0,4.2700000000000005,0.29,0.1199999999999998,0.71,0.8917239084219134,0.858309154734706,0.0012199999999998,4.679299999999999,0.577,0.2500999999999993,1.302750000000001,0.8710936205468102,0.9905713070976627,0.0,5.12,0.48,0.1700000000000001,1.155,1.0142584921292461,0.8707240755333915,0.0,4.109999999999999,0.72,0.31999999999999995,1.555,0.9604888152444075,1.0339733460126108,0.0,4.66,0.52,0.21499999999999994,1.33,0.7471023998364676,0.8407805746043483,0.00164,4.47465,0.4079559999999991,0.18405999999999983,0.9198699999999997
Without carboxylic acid,12622,0.35082037976020697,0.40116408057338065,0.0,18.24,0.25,0.1,0.4799999999999995,0.5803994984946917,0.5593926704180023,3.552713678800501e-15,14.519199999999962,0.44159999999999905,0.20479999999999995,0.7896500000000001,0.6205316706570896,0.6380538475027892,0.0,21.64,0.4300000000000001,0.1800000000000001,0.8600000000000001,0.7219292231976588,0.6720571401806785,0.0,11.53,0.55,0.25,0.9899999999999998,0.5151026735833998,0.5304940542357474,0.0,16.75,0.38,0.1700000000000001,0.69,0.4240768802883853,0.4282319112766158,3.5999999999702936e-05,15.707839999999994,0.32064800000000016,0.14786000000000002,0.5705350000000002
With amide,4063,0.44921978833374354,0.5764234466429513,0.0,4.02,0.2700000000000004,0.11,0.56,0.583603079005661,0.5213633246932505,0.0003000000000032,4.413400000000001,0.4470999999999956,0.20590000000000105,0.7980000000000003,0.7238112835673811,0.7318595278585233,0.0,5.12,0.5099999999999998,0.2199999999999997,0.98,0.7423084503572308,0.640740905737184,0.0,5.79,0.5800000000000001,0.27,1.01,0.572010347376201,0.609332665771739,0.0,4.5600000000000005,0.4099999999999999,0.1899999999999999,0.7299999999999999,0.489433927147428,0.5273170285285655,3.5999999999702936e-05,3.5953800000000005,0.34608,0.1584299999999998,0.6356699999999997
Without amide,9782,0.34583365705717983,0.4136273216364621,0.0,18.24,0.24,0.1,0.4600000000000002,0.6179923839705579,0.6274034887792013,3.552713678800501e-15,14.519199999999962,0.4509500000000002,0.20820000000000016,0.8214750000000001,0.6084647482262175,0.6542057787910721,0.0,21.64,0.4100000000000001,0.1699999999999999,0.8300000000000001,0.7498401701453468,0.7188908553628734,0.0,11.53,0.5599999999999996,0.25,1.0299999999999998,0.5467820314114487,0.6035606108826193,0.0,16.75,0.3800000000000001,0.1699999999999999,0.71,0.4373169670823962,0.46964599952063946,8.000000000005225e-05,15.707839999999994,0.31887,0.14719999999999978,0.5736630000000004
With ester,1750,0.3882071428571428,0.5691753893809066,0.0,18.24,0.28,0.1200000000000001,0.52,0.6036914114285711,0.6177611904022366,0.000499999999997,14.519199999999962,0.4539499999999992,0.20572499999999955,0.8614999999999995,0.7162435456110154,0.8140179579457356,0.0,21.64,0.5199999999999996,0.2100000000000002,0.9899999999999998,0.8070352839931153,0.6988946028888822,0.0,7.39,0.6199999999999997,0.29,1.14,0.5417685025817556,0.6133780778475244,0.0,16.75,0.4099999999999999,0.1899999999999999,0.7299999999999999,0.46109142742857134,0.5421382103122458,3.5999999999702936e-05,15.707839999999994,0.3576899999999992,0.1607100000000005,0.617016
Without ester,12095,0.3744326030039961,0.45346087924604417,0.0,9.16,0.2400000000000002,0.1,0.48,0.608509370814386,0.5955965048058551,3.552713678800501e-15,12.1221,0.4493,0.2075399999999999,0.8097499999999986,0.6318375298760491,0.6577165081209316,0.0,6.960000000000001,0.4299999999999997,0.1799999999999997,0.8599999999999999,0.7389795453282196,0.695984825985008,0.0,11.53,0.5599999999999996,0.25,1.0099999999999998,0.5560483575120895,0.6041893657599833,0.0,10.84,0.3899999999999997,0.17125000000000076,0.71,0.4513844249689954,0.47948315810652026,8.000000000005225e-05,10.122420000000002,0.3229200000000001,0.14988000000000018,0.5851400000000002
With benzene,9257,0.3609186741564942,0.46096552541662017,0.0,18.24,0.24,0.1,0.4699999999999997,0.5814422624320333,0.593578832725739,3.552713678800501e-15,14.519199999999962,0.4300999999999977,0.1956999999999997,0.7707999999999999,0.6001536610954344,0.6512829684751448,0.0,21.64,0.4100000000000001,0.1700000000000003,0.81,0.7478390673612617,0.7018225325441899,0.0,11.53,0.56,0.25,1.01,0.5507809673684972,0.6156355710150964,0.0,16.75,0.3899999999999999,0.1799999999999997,0.71,0.44218851456555397,0.4923455054387885,3.5999999999702936e-05,15.707839999999994,0.3189400000000022,0.14808,0.5715600000000003
Without benzene,4588,0.40695306596919495,0.48533011524382563,0.0,4.2700000000000005,0.2699999999999996,0.1099999999999999,0.52,0.6612837372856727,0.60462868915915,0.0002400000000011,5.222599999999999,0.49558999999999986,0.2343250000000004,0.9126925000000013,0.728909131107672,0.727763659640937,0.0,5.720000000000001,0.4900000000000001,0.1999999999999997,1.0299999999999998,0.7471576387353527,0.6862156405158061,0.0,10.07,0.5699999999999998,0.26,1.0499999999999998,0.5612758493625174,0.5838688687974771,0.0,5.47,0.3900000000000001,0.1799999999999999,0.7200000000000002,0.4736411374600406,0.47797181584822923,8.000000000005225e-05,4.47465,0.34124999999999994,0.15707000000000015,0.6228549999999999
With ketone,984,0.3247662601626016,0.33589935795912496,0.0,3.0,0.2199999999999999,0.09000000000000022,0.4500000000000002,0.5653479573170732,0.5137551549148892,0.0007000000000023,3.9576000000000007,0.4326000000000003,0.20399999999999857,0.7775499999999991,0.7653618756371049,0.7477843780497516,0.0,4.1,0.51,0.2299999999999999,1.07,0.8460448521916412,0.7697598379951436,0.0,4.92,0.6200000000000001,0.27,1.18,0.5448012232415903,0.5251313113126578,0.0,4.5600000000000005,0.3900000000000001,0.1699999999999999,0.77,0.4803534918699186,0.44542739406618903,0.0003399999999995,2.54352,0.34556999999999966,0.16295499999999996,0.6308330000000002
Without ketone,12861,0.38010689941165793,0.4781409737302648,0.0,18.24,0.25,0.1099999999999998,0.4900000000000002,0.6111560858409142,0.6043065069068662,3.552713678800501e-15,14.519199999999962,0.451100000000002,0.2077999999999998,0.8193999999999997,0.6331022133375144,0.6737077510849406,0.0,21.64,0.43000000000000005,0.1799999999999999,0.87,0.7400449331033763,0.690210862175542,0.0,11.53,0.56,0.25,1.01,0.5549620962684226,0.6111051294567263,0.0,16.75,0.39,0.1799999999999999,0.71,0.45048882528574763,0.49088199479087,3.5999999999702936e-05,15.707839999999994,0.3258600000000005,0.1493599999999999,0.5850400000000007
