,Count,Kowwin Mean,Kowwin Standard Deviation,Kowwin Minimum,Kowwin Maximum,Kowwin Median,Kowwin IQR,Wildman-Crippen Mean,Wildman-Crippen Standard Deviation,Wildman-Crippen Minimum,Wildman-Crippen Maximum,Wildman-Crippen Median,Wildman-Crippen IQR,Meylan-Kowwin Mean,Meylan-Kowwin Standard Deviation,Meylan-Kowwin Minimum,Meylan-Kowwin Maximum,Meylan-Kowwin Median,Meylan-Kowwin IQR,MLogP Mean,MLogP Standard Deviation,MLogP Minimum,MLogP Maximum,MLogP Median,MLogP IQR,ALogP Mean,ALogP Standard Deviation,ALogP Minimum,ALogP Maximum,ALogP Median,ALogP IQR,consensus logp Mean,consensus logp Standard Deviation,consensus logp Minimum,consensus logp Maximum,consensus logp Median,consensus logp IQR,,Kowwin diff,Wildman-Crippen diff,Meylan-Kowwin diff,MLogP diff,ALogP diff,consensus diff,,avg MAE,avg SD
With carboxylic acid,1223,0.637833197,0.872741372,0,4.27,0.29,0.59,0.891723908,0.858309155,0.00122,4.6793,0.577,1.05265,0.871093621,0.990571307,0,5.12,0.48,0.985,1.014258492,0.870724076,0,4.11,0.72,1.235,0.960488815,1.033973346,0,4.66,0.52,1.115,0.7471024,0.840780575,0.00164,4.47465,0.407956,0.73581,,0.287012817,0.31132441,0.25056195,0.292329269,0.445386141,0.32302552,,0.853750072,0.911183305
Without carboxylic acid,12622,0.35082038,0.401164081,0,18.24,0.25,0.38,0.580399498,0.55939267,3.55E-15,14.5192,0.4416,0.58485,0.620531671,0.638053848,0,21.64,0.43,0.68,0.721929223,0.67205714,0,11.53,0.55,0.74,0.515102674,0.530494054,0,16.75,0.38,0.52,0.42407688,0.428231911,3.60E-05,15.70784,0.320648,0.422675,,,,,,,,,0.535476721,0.538232284
With amide,4063,0.449219788,0.576423447,0,4.02,0.27,0.45,0.583603079,0.521363325,0.0003,4.4134,0.4471,0.5921,0.723811284,0.731859528,0,5.12,0.51,0.76,0.74230845,0.640740906,0,5.79,0.58,0.74,0.572010347,0.609332666,0,4.56,0.41,0.54,0.489433927,0.527317029,3.60E-05,3.59538,0.34608,0.47724,,0.103386131,-0.034389305,0.115346536,-0.00753172,0.025228316,0.05211696,,0.593397813,0.601172817
Without amide,9782,0.345833657,0.413627322,0,18.24,0.24,0.36,0.617992384,0.627403489,3.55E-15,14.5192,0.45095,0.613275,0.608464748,0.654205779,0,21.64,0.41,0.66,0.74984017,0.718890855,0,11.53,0.56,0.78,0.546782031,0.603560611,0,16.75,0.38,0.54,0.437316967,0.469646,8.00E-05,15.70784,0.31887,0.426463,,,,,,,,,0.551038326,0.581222343
With ester,1750,0.388207143,0.569175389,0,18.24,0.28,0.4,0.603691411,0.61776119,0.0005,14.5192,0.45395,0.655775,0.716243546,0.814017958,0,21.64,0.52,0.78,0.807035284,0.698894603,0,7.39,0.62,0.85,0.541768503,0.613378078,0,16.75,0.41,0.54,0.461091427,0.54213821,3.60E-05,15.70784,0.35769,0.456306,,0.01377454,-0.00481796,0.084406016,0.068055739,-0.014279855,0.009707002,,0.586339552,0.642560905
Without ester,12095,0.374432603,0.453460879,0,9.16,0.24,0.38,0.608509371,0.595596505,3.55E-15,12.1221,0.4493,0.60221,0.63183753,0.657716508,0,6.96,0.43,0.68,0.738979545,0.695984826,0,11.53,0.56,0.76,0.556048358,0.604189366,0,10.84,0.39,0.53875,0.451384425,0.479483158,8.00E-05,10.12242,0.32292,0.43526,,,,,,,,,0.560198639,0.581071874
With benzene,9257,0.360918674,0.460965525,0,18.24,0.24,0.37,0.581442262,0.593578833,3.55E-15,14.5192,0.4301,0.5751,0.600153661,0.651282968,0,21.64,0.41,0.64,0.747839067,0.701822533,0,11.53,0.56,0.76,0.550780967,0.615635571,0,16.75,0.39,0.53,0.442188515,0.492345505,3.60E-05,15.70784,0.31894,0.42348,,-0.046034392,-0.079841475,-0.12875547,0.000681428,-0.010494882,-0.031452622,,0.547220524,0.585938489
Without benzene,4588,0.406953066,0.485330115,0,4.27,0.27,0.41,0.661283737,0.604628689,0.00024,5.2226,0.49559,0.6783675,0.728909131,0.72776366,0,5.72,0.49,0.83,0.747157639,0.686215641,0,10.07,0.57,0.79,0.561275849,0.583868869,0,5.47,0.39,0.54,0.473641137,0.477971816,8.00E-05,4.47465,0.34125,0.465785,,,,,,,,,0.59653676,0.594296465
With ketone,984,0.32476626,0.335899358,0,3,0.22,0.36,0.565347957,0.513755155,0.0007,3.9576,0.4326,0.57355,0.765361876,0.747784378,0,4.1,0.51,0.84,0.846044852,0.769759838,0,4.92,0.62,0.91,0.544801223,0.525131311,0,4.56,0.39,0.6,0.480353492,0.445427394,0.00034,2.54352,0.34557,0.467878,,-0.055340639,-0.045808129,0.132259663,0.105999919,-0.010160873,0.029864667,,0.587779277,0.556292906
Without ketone,12861,0.380106899,0.478140974,0,18.24,0.25,0.38,0.611156086,0.604306507,3.55E-15,14.5192,0.4511,0.6116,0.633102213,0.673707751,0,21.64,0.43,0.69,0.740044933,0.690210862,0,11.53,0.56,0.76,0.554962096,0.611105129,0,16.75,0.39,0.53,0.450488825,0.490881995,3.60E-05,15.70784,0.32586,0.43568,,,,,,,,,0.561643509,0.591392203
With halogen,3925,0.355497028,0.392459597,0,6.2,0.25,0.37,0.610487444,0.644377492,0.00018,4.7852,0.4296,0.5817,0.623459589,0.635865875,0,6.2,0.41,0.7,0.774453179,0.725503692,0,4.92,0.58,0.8,0.574412465,0.611158027,0,5.13,0.39,0.56,0.456576545,0.477712769,0.00034,4.75236,0.32758,0.42522,,-0.02885771,0.00361067,-0.026515063,0.037281844,0.028026851,0.005534037,,0.565814375,0.581179575
Without halogen,9920,0.384354738,0.496688611,0,18.24,0.25,0.39,0.606876774,0.579265234,3.55E-15,14.5192,0.45915,0.61705,0.649974652,0.69642899,0,21.64,0.45,0.7,0.737171335,0.684914771,0,11.53,0.56,0.76,0.546385614,0.602936197,0,16.75,0.39,0.52,0.451042508,0.491799816,3.60E-05,15.70784,0.32712,0.44383,,,,,,,,,0.56263427,0.592005603
